datarichiestapremio,id_player,nomepremio,puntipremio,tipopremio,formatPremio,deliveryMode
2022-01-20,1672.0,Bicicletta Personalizzata,21000,basic,physical,home
2021-10-20,537088.0,Velocipede Personalizzato,18000,basic,physical,home
2021-10-08,537088.0,Velocipede Personalizzato,18000,basic,physical,home
2022-01-27,1461448.0,Buono Sconto Photosì,3000,gift,digital,email
2021-12-28,1633286.0,Buono Sconto Leolandia,0,special,digital,email
2021-10-02,1003870.0,Buono sconto My Sweetie Pie,3000,gift,digital,email
2022-01-31,1003870.0,Primi Passi,12500,basic,physical,home
2021-03-16,393424.0,Inventa favole Montessori,6000,basic,physical,home
2021-12-10,393424.0,Buono Sconto Clementoni,1000,gift,digital,email
2021-12-01,393424.0,Calendario personalizzato,5500,basic,digital,email
2022-01-31,1378534.0,10€ Buono sconto Pampers,9000,basic,physical,home
2021-06-13,696992.0,Clinica Veterinaria,12500,basic,physical,home
2021-09-17,696992.0,Velocipede Personalizzato,18000,basic,physical,home
2022-01-30,258246.0,10€ Buono sconto Pampers,9000,basic,physical,home
2022-01-30,258246.0,10€ Buono sconto Pampers,9000,basic,physical,home
2022-01-29,258246.0,Buono Sconto Leolandia,0,special,digital,email
2021-12-15,556058.0,Cucina,16000,basic,physical,home
2022-01-28,1179924.0,Registratore di cassa,7000,basic,physical,home
2021-12-25,1385826.0,Banco lavoro,16000,basic,physical,home
2022-01-01,71846.0,Buono Sconto Leolandia,0,special,digital,email
2021-03-27,71846.0,Buono sconto Playmobil,6000,gift,digital,email
2021-12-05,71846.0,10€ Buono sconto Pampers,9000,basic,physical,home
2021-12-05,71846.0,15€ Buono sconto Pampers,12000,basic,physical,home
2022-01-31,903198.0,Casetta Pretty,25000,basic,physical,home
2021-12-07,602046.0,Tazza personalizzata con foto,10000,basic,digital,email
2022-01-24,719598.0,Velocipede Personalizzato,18000,basic,physical,home
2021-06-08,54780.0,Buono Sconto Sviluppofoto,3000,gift,digital,email
2021-11-16,54780.0,Bicicletta Personalizzata,21000,basic,physical,home
2021-10-28,16966.0,Trattore,21000,basic,physical,home
2021-03-23,1011232.0,Buono sconto Carrera,1000,gift,digital,email
2022-01-02,1011232.0,Casetta Pretty Personalizzata,25000,basic,physical,home
2022-01-30,648604.0,Primi Passi,12500,basic,physical,home
2021-10-28,971750.0,Buono Sconto Zac4Kids,3000,gift,digital,email
2021-10-28,971750.0,Buono Sconto Tonki,6000,gift,digital,email
2021-10-28,971750.0,Buono Sconto Leolandia,1000,gift,digital,email
2022-01-01,971750.0,Buono Sconto Landoloux,9000,gift,digital,email
2022-01-20,971750.0,20€ Buono sconto Pampers,14500,basic,physical,home
2022-01-20,971750.0,15€ Buono sconto Pampers,12000,basic,physical,home
2021-06-22,53774.0,Banco lavoro,16000,basic,physical,home
2022-01-25,53774.0,Cavallino gonfiabile,9500,basic,physical,home
2022-01-25,53774.0,Buono Sconto Clementoni,1000,gift,digital,email
2021-10-23,583846.0,Cucina,16000,basic,physical,home
2022-01-06,583846.0,5€ Buono sconto Pampers,5500,basic,physical,home
2022-01-06,583846.0,Buono Sconto Clementoni,1000,gift,digital,email
2022-01-06,583846.0,Buono Sconto Photosì,3000,gift,digital,email
2021-04-01,530648.0,Registratore di cassa,7000,basic,physical,home
2022-01-10,530648.0,Calendario personalizzato,5500,basic,digital,email
2022-01-05,530648.0,Buono Sconto Leolandia,0,special,digital,email
2022-01-31,106494.0,Clinica Veterinaria,12500,basic,physical,home
2022-01-31,259200.0,Buono Sconto Photosì,3000,gift,digital,email
2022-01-31,259200.0,Bicicletta,21000,basic,physical,home
2022-08-24,1847562.0,Pizzeria,18000,basic,physical,home
2021-05-07,235126.0,Casetta Pretty Personalizzata,25000,basic,physical,home
2022-01-24,235126.0,Supermercato,14500,basic,physical,home
2021-03-17,901548.0,Ciondolino Manufatto,6000,basic,physical,home
2022-08-29,901548.0,Ruspa,14500,basic,physical,home
2022-01-13,82188.0,Casetta Pretty Personalizzata,25000,basic,physical,home
2021-07-04,947582.0,20€ Buono sconto Pampers,14500,basic,physical,home
2021-10-22,947582.0,Buono Sconto Leolandia,1000,gift,digital,email
2021-11-25,947582.0,20€ Buono sconto Pampers,14500,basic,physical,home
2021-11-12,513808.0,20€ Buono sconto Pampers,14500,basic,physical,home
2021-11-12,513808.0,Calendario personalizzato,5500,basic,digital,email
2022-01-09,360492.0,Clinica Veterinaria,12500,basic,physical,home
2022-01-05,644454.0,Casetta Pretty Personalizzata,25000,basic,physical,home
2021-07-30,644454.0,Buono sconto My Sweetie Pie,3000,gift,digital,email
2022-05-23,644454.0,Doctor on call,8500,basic,physical,home
2022-01-15,390952.0,Valigetta del dottore,8000,basic,physical,home
2022-09-09,390952.0,A pesca,5500,basic,physical,home
2022-01-04,222394.0,Bicicletta Personalizzata,21000,basic,physical,home
2021-11-12,338122.0,Flashcards della buonanotte,6000,basic,physical,home
2022-01-10,338122.0,Valigetta del dottore,8000,basic,physical,home
2022-01-15,415258.0,Registratore di cassa,7000,basic,physical,home
